prompt,prompt_len,target
"Catherine Willoughby, 12th Baroness Willoughby de Eresby",13,0
Gertrude of Baden,5,0
Rothilde,3,0
Jacob van Doordt,6,1
Maria of Amalfi,5,0
Sophia,2,0
"Francis de Bourbon, Count of Saint-Pol",10,1
Bertha van Heukelom,8,0
Paula of Rome,4,0
Johan II of East Frisia,7,1
Susanna of Bavaria,5,0
Johann Joseph von Trautson,7,1
Laura Battiferri,6,0
"Thomas Howard, 1st Earl of Suffolk",10,1
Hans Victor von Unruh,6,1
Vigilius of Trent,5,1
Marietta de Patras,6,0
Agnes of Hainaut,5,0
Edgar Bauer,3,1
"Françoise-Athénaïs, marquise de Montespan",14,0
Gérard Machet,5,1
Blanche of Artois,6,0
Liu Bei,3,1
Li Jiong,4,1
Sophia Palaiologina,5,0
Karl von Birago,6,1
Anna Maria Wagemann,5,0
Gilberte Roca,4,0
Wolfgang Reinhold,3,1
Yamamoto Gonnohyōe,8,1
Johann Heinrich Hartmann Bätz,6,1
Philippa of Lancaster,5,0
Beautiful Lady Yu,4,0
Pablo Neruda,4,1
Claudia de' Medici,5,0
Elizabeth of Pomerania,5,0
Felix Mendelssohn,3,1
Tilpin,3,1
Wolfram Freiherr von Richthofen,9,1
Mary of Hungary,4,0
Jeanne Ire d'Albret,7,0
Colmar Freiherr von der Goltz,9,1
Diane de France,4,0
Olympias the Deaconess,6,0
Vittoria della Rovere,6,0
Jeanne of Saint-Pol,6,0
Robert Murray Keith,4,1
Ban Zhao,3,0
Patrick Hamilton,3,1
Liu Feng,3,1
Countess Palatine Dorothea of Simmern,8,0
Saint Susanna,3,0
Clarice Orsini,5,0
Gustav Quentell,5,1
Engelbert Wusterwitz,6,1
Herbert of Selkirk,5,1
Katharina von Bora,5,0
Hebe Camargo,4,0
Douglas Adams,3,1
Ruth Teitelbaum,5,0
Joanna of Gallura,5,0
"Catherine of Foix, Countess of Candale",10,0
Moritz Graf von Strachwitz,7,1
Franz Jägerstätter,5,1
Georg Friedrich Daumer,5,1
"Eleanor, Fair Maid of Brittany",7,0
Hårek av Tjøtta,7,1
Friedrich Eberhard Rambach,5,1
Konrad the Curly,4,1
Gonzalo Yáñez de Aguilar,7,1
"Matilda FitzRoy, Countess of Perche",10,0
Mafalda of Portugal,5,0
Anne Marie Martinozzi,5,0
Anne of France,4,0
Empress Xu,4,0
"Isabella of Portugal, Lady of Viseu",9,0
Peter Lombard,3,1
Gerrit II van Poelgeest,9,1
Georg Heinrich Ferdinand Nesselmann,7,1
Bertha of Swabia,6,0
"Elizabeth of York, Duchess of Suffolk",8,0
Johann Freitag von Loringhoven,7,1
Nicole-Reine Lepaute,8,0
Giorgio Lodron,4,1
Princess Mathilde Caroline of Bavaria,6,0
Hieronymus Balbus,5,1
Adelheid II van Franken,6,0
Khadijah of the Maldives,7,0
Catherine of Bjurum,6,0
Jørgen Kock,6,1
John Langton,4,1
Fredericka of Saxe-Gotha-Altenburg,12,0
Urraca Sánchez of Pamplona,6,0
Hassan Ghaznavi,5,1
Dorothea Marie of Saxe-Gotha-Altenburg,13,0
Johann Kasimir Kolbe von Wartenberg,10,1
Charles Frederick II,4,1
Praxedes,4,0
"Alice de Toeni, Countess of Warwick",9,0
"Mary of Scotland, Countess of Boulogne",8,0
Frederica Henriette of Anhalt-Bernburg,12,0
Helena,2,0
Rudolf IV,3,1
Andrei Tarkovsky,4,1
René de Saussure,5,1
"Alix, Countess of Eu",7,0
Margaret of Savoy,4,0
Countess Maria Louise Albertine of Leiningen-Falkenburg-Dagsburg,19,0
Katharina van Naaldwijk,7,0
Wang Xiang,3,1
Johann von Brunn,5,1
Joachim Reinhold von Glasenapp,7,1
"Elizabeth of Denmark, Electress of Brandenburg",9,0
Hodierne de Gometz,8,0
"Rudolf IV, Margrave of Baden-Pforzheim",12,1
Simon Awad,4,1
Tino di Camaino,6,1
Francisco López de Gómara,6,1
Juan Pizarro,3,1
Magdalena van de Passe,5,0
Eleanor of Castile II,5,0
Theodore Romzha,4,1
John of Capistrano,6,1
"Ingeborg of Denmark, Queen of France",10,0
Anna Amalia,3,0
Ambrosius Lobwasser,6,1
François-André Danican Philidor,9,1
Vibeke Kruse,4,0
Andrea Bregno,5,1
Juana Manuela Gorriti,6,0
Cornelia Lentula,5,0
Princess Amelia of Great Britain,6,0
Sophia Dorothea of Celle,5,0
Hürrem Sultan,5,0
Empress Yide,5,0
Edith Frank-Holländer,6,0
"Elizabeth de Burghersh, 3rd Baroness Burghersh",14,0
Jean Orry,4,1
Johann Caspar Neubeck,5,1
Anna Vasa of Sweden,6,0
Friedrich I. von Brehna,7,1
Helie of Burgundy,5,0
Alain IV de Rohan,5,1
Günther I of Schwalenberg,7,1
Isabella de Say,4,0
Paola Malatesta,5,0
Li He,3,1
"Frederick Augustus, Prince of Anhalt-Zerbst",11,1
Johannes Bugenhagen,5,1
Sibylla of Armenia,5,0
Emily Brontë,5,0
"Mary, Princess Royal and Princess of Orange",9,0
Annibale Caro,5,1
"Bertha, Duchess of Brittany",7,0
Веринар,4,1
Hodierna of St Albans,7,0
"Henry de Bohun, 1st Earl of Hereford",12,1
Ulrich V. von Neuhaus,7,1
Giovanni Raimondo Folch I de Cardona,9,1
Anna Lopukhina,5,0
Christophe-Philippe Oberkampf,6,1
Yu Jin,3,1
Ide Pedersdatter Falk,7,0
Alice of Courtenay,6,0
"Agnes of Burgundy, Duchess of Aquitaine",9,0
Ali Çengizade,5,1
David IV of Georgia,5,1
"John III, Lord of Mecklenburg",7,1
Lothair I,5,1
"Maud, Countess of Huntingdon",7,0
"Joana, delfina d'Alvèrnia",12,0
Sophia of Rheineck,5,0
Crown Prince Sado,4,1
Ferdinand Zirkel,4,1
Giovanni Colonna,3,1
Habib bin Mesleme,6,1
William M. Mann,5,1
Empress Wang,4,0
Beatrix of Brandenburg,5,0
Jan Długosz,5,1
Jakob Kaschauer,4,1
"Robert V, Count of Dreux",8,1
Ahmad Fanakati,5,1
Eleanor of Aragon,4,0
María de Ágreda,6,0
Margaret of Brzeg,5,0
Albrecht von Mansfeld,6,1
René de Birague,5,1
Emily Dickinson,3,0
Peter I of Vendôme,6,1
Ambrogio Bergognone,7,1
"Geoffrey II, Count of Perche",8,1
Joanna of Pfirt,5,0
Abraham Darby I,4,1
Charlotte von Stein,4,0
Maria of Bohemia,4,0
Princess Anle,4,0
Ferdinand Gregorovius,5,1
Betje Wolff,4,0
Alina Margolis-Edelman,7,0
George Clinton,3,1
Stefano de Normandis dei Conti,7,1
Princess Elizabeth Albertine of Saxe-Hildburghausen,12,0
Countess Emilia Antwerpiana of Nassau,8,0
Kim Ahn-ro,5,1
Philipp Schall von Bell,5,1
Leopold Zunz,4,1
Beatrice of Provence,4,0
Anna del Vienès,5,0
Johann Wilhelm Weinmann,5,1
Mathilde Wesendonck,6,0
Hans Leo Hassler,5,1
Joanna of Naples,4,0
Princess Eleonore of Solms-Hohensolms-Lich,15,0
Yue Jin,3,1
"Alix, duchess of Brittany",7,0
Princess Ida of Anhalt-Bernburg-Schaumburg-Hoym,15,0
Hendrick Mommers,5,1
August Ahlborn,4,1
Gregor Mendel,3,1
Ludmilla Elisabeth of Schwarzburg-Rudolstadt,10,0
Ermentrude of Roucy,7,0
Melania the Elder,5,0
Paul,2,1
Elizabeth Lacković,5,0
Andreas Röschlaub,5,1
Albertus de Saxonia,6,1
Federico da Montefeltro,6,1
"Ralph de Stafford, 1st Earl of Stafford",11,1
Margaret of France,4,0
Marie of Artois,5,0
Tsutomu Yamaguchi,5,1
Emilia Bicchieri,5,0
Walter Scammel,4,1
Agostino Scilla,5,1
"Álvaro Vaz de Almada, 1st Count of Avranches",16,1
Jane Frances de Chantal,5,0
Joseph Brodsky,4,1
Arthur Hoffmann,3,1
Jean Joseph Vadé,5,1
Gerhard Domagk,5,1
Theodoros Gaza,5,1
"Adalbert II, Count of Thurgau",10,1
Rodolfo Gabrielli,5,1
Asma bint Shihab,6,0
Heinrich von Achenbach,6,1
Adelaide of Italy,4,0
Ferdinand August von Spiegel,5,1
Frieda Fromm-Reichmann,8,0
Mechthild of the Palatinate,9,0
Maria Barbara Bach,4,0
Elizabeth of Oettingen,6,0
Ermengarde of Zutphen,8,0
John II Orsini,5,1
Princess Luise Dorothea of Saxe-Meiningen,11,0
Adam Henricpetri,6,1
Alix de Montmorency,7,0
Grímur Kamban,6,1
"John de Clinton, 1st Baron Clinton",10,1
John of Ephesus,4,1
Agnes of Meissen,5,0
Fabritio Caroso,5,1
Anne of Auvergne,4,0
Wisława Szymborska,6,0
Adelaide of Normandy,4,0
"Margaret of Sweden, Queen of Norway",8,0
Emperor Ai of Tang,5,1
Justine Siegemund,6,0
Anna Maria Luisa de' Medici,7,0
Johann Christoph Kellner,5,1
Mary Frances Schervier,6,0
Agnes II,3,0
Yi Eokgi,5,1
Allen Ginsberg,4,1
Adelaide of Hungary,4,0
Robert Ley,3,1
Athanasius of Balad,7,1
Julie Adams,3,0
Christopher von Dohna,5,1
Antoine III de Gramont,6,1
Friedrich Konrad Hiller,4,1
Suzy Covey,5,0
Bartholomew Roberts,6,1
George Frideric Handel,6,1
Kim Si-seup,6,1
Rotrude,3,0
Marianne von der Leyen,6,0
Emma of Barcelona,4,0
Alix of Brittany,5,0
Hasan Bughra-chan,7,1
Count Palatine Joseph Charles of Sulzbach,9,1
Josip Kazimir Drašković,8,1
Claudine Françoise Mignot,7,0
Colette Audry,5,0
Fulgencio Berdugo,7,1
William Jones,3,1
Yelü Chucai,6,1
Alex Harvey,3,1
Antoine Pesne,4,1
Jacques Pilavaine,5,1
"Beatrice of Navarre, Duchess of Burgundy",8,0
Hans Buchner,4,1
Ludwig Renn,3,1
Ulla Pia,4,0
Juana Pimentel,5,0
Karl Bernhardi,5,1
Augusta of Denmark,5,0
Joan of Arc,4,0
Jean-Denis Cochin,5,1
Hertha Töpper,5,0
Li Rong,3,1
Elisabeth of Habsburg,5,0
Maureen Connolly,3,0
Emilianus of Trevi,7,1
Alice of France,4,0
Joanna la Beltraneja,6,0
Phillis Wheatley,4,0
"Vladislaus, Margrave of Moravia",10,1
Rina Zaizov Marx,7,0
Wilhelm Lauche,4,1
Walter Tirel,4,1
Isabella Teotochi Albrizzi,8,0
King Hiram I,4,1
Yao Sui,3,1
"Margaret of Holland, Countess of Henneberg",9,0
Sibylla of Lusignan,7,0
Johann Gottlob Nathusius,7,1
Henriette Vogel,4,0
Ilona Zrínyi,6,0
Paul Thymich,5,1
Celestine V,4,1
Princess Marie Victoire d'Arenberg,9,0
Anne Hyde,3,0
"John, Count of Angoulême",8,1
Anton Flettner,5,1
Maria of Mecklenburg-Schwerin,7,0
"Marie, Countess of Ponthieu",8,0
Larissa,3,0
"Magdalena of Brandenburg, Countess of Hohenzollern",10,0
Ahmed Shah I,4,1
Lady Jane Grey,4,0
Zanetta Farussi,5,0
Ahmed Mohammed al-Maqqari,8,1
Constança de Viena,5,0
Muhammad ibn al-Fadl al-Jarjara'i,13,1
Łukasz Górnicki,5,1
Johann von Ennsthal,6,1
"Frances Grey, Duchess of Suffolk",7,0
"Philippa, Countess of Toulouse",7,0
Ulrich III,3,1
Georg Matthäus Vischer,6,1
Sasaki Yoshikiyo,6,1
Lucy Filippini,5,0
Giuseppe Fiorelli,4,1
Nicolas Boileau-Despréaux,9,1
William the Breton,4,1
Maximilian von Spee,6,1
Li Qi,3,1
Augusta of Denmark,5,0
Anna of Brandenburg,4,0
"Alice of Saluzzo, Countess of Arundel",10,0
"Margaret de Bohun, Countess of Devon",9,0
Ulrich Zasius,4,1
Jean-Baptiste-Siméon Chardin,10,1
Blanche of Burgundy,5,0
Marie Anne de Bourbon,5,0
Isabella of Gloucester and Hertford,7,0
Frances E. Allen,5,0
Villana de' Botti,7,0
Dmitry of Pereslavl,6,1
Margarete of Austria,6,0
Edward Hall,3,1
Alfonso Ferrabosco the elder,8,1
Henriette Mendel,4,0
Alaattin Ali of Karaman,8,1
Alida Withoos,5,0
"Baldwin of Ibelin, Seneschal of Cyprus",12,1
Hilda,3,0
Humbeline of Jully,7,0
"Agnes of France, Duchess of Burgundy",8,0
Euphemia de Ross,5,0
"Isabella of France, Queen of Navarre",8,0
Angelo Maccagnino,5,1
"Louis Antoine, Duke of Enghien",8,1
Agnes of Montepulciano,6,0
Prince Xian of Hengyang,6,1
Adam Friedrich von Wreech,7,1
Elena Cornaro Piscopia,6,0
Princess Elisabeth of Hesse and by Rhine,8,0
Alexander Sigismund von der Pfalz-Neuburg,11,1
Mariana Alcoforado,5,0
Johann Christoph Altnickol,7,1
Pedro Sarmiento,3,1
Марія Склірена,7,0
Pieter de Jode II,6,1
Suzy Covey,5,0
Fernando Díaz Gudiel,5,1
Søren Kierkegaard,5,1
Frida Schuhmacher,4,0
Takano no Niigasa,7,0
Antonie Waterloo,4,1
Margaret of Hanau-Lichtenberg,9,0
"Elisabeth, Duchess of Luxembourg",6,0
Arturo Alessandri,4,1
Paul Gerhardt,4,1
Otto Ohlendorf,4,1
Maria Eleonora of Brandenburg,6,0
Thomas Gainsborough,4,1
Franziska Batthyány,6,0
Étienne de Garlande,5,1
Elizabeth von Henneberg-Schleusingen,9,0
Walter de Cantilupe,6,1
Christine Charlotte of Württemberg,6,0
Ludwig Hassenpflug,6,1
John Sutton IV,4,1
Alexander I Aldea,5,1
Franz Caspar Schnitger,6,1
Elihu Yale,4,1
Elizabeth Mure,3,0
Caterina Visconti,4,0
"George I, Prince of Anhalt-Dessau",11,1
Abba Mari,4,1
William IV of Saint Omer,6,1
Teodor Waga,5,1
Beatrice of Silesia,5,0
Viktor Lutze,4,1
Magdalene Sibylle of Saxe-Weissenfels,12,0
Nicole de Savigny,5,0
Mervyn Peake,6,1
Margaret of Montferrat,6,0
Albertas Manvydas,7,1
Adelheid Amalie Gallitzin,8,0
Princess Elisabeth of Hesse and by Rhine,8,0
Hermann Gmeiner,5,1
Alexandra Velyaminova,6,0
"Anselm Marshal, 6th Earl of Pembroke",12,1
"John de Botetourt, 1st Baron Botetourt",14,1
Mieszko of Bytom,7,1
Anna van Egmont,5,0
Zoe Porphyrogenita,5,0
"Margaret II, Countess of Hainault",8,0
Katherine Swynford,5,0
Antonio Catalani,4,1
Archduchess Anna of Austria,7,0
Fa Zheng,3,1
"Virginio Orsini, Duke of Bracciano",11,1
Branca of Portugal,5,0
Hawise of Aumale,7,0
Juana Manuela Gorriti,6,0
"Frances Stewart, Duchess of Richmond",7,0
"Louisa Hamilton, Duchess of Abercorn",8,0
Johannes Stabius,4,1
Marie Eleonore of Cleves,7,0
"Claudine, Lady of Monaco",7,0
Daniel Fenner von Fenneberg,7,1
Edgar of Hereford,4,1
Empress Sima Maoying,7,0
Rita of Armenia,4,0
"Margaret of Lusignan, Queen of Armenia",10,0
Samson of Mauvoisin,6,1
Bertha of Burgundy,5,0
Battista Malatesta,7,0
Paul Jenisch,4,1
Duchess Sibylle of Saxe-Lauenburg,10,0
Yusuf ibn Abd al-Rahman al-Mizzi,12,1
Amalia Wilhelmina Königsmarck,7,0
Philip the Good,4,1
Diana di Cordona,5,0
Andrea Aleksi,4,1
Andrey Sheptytsky,5,1
Margaret of Castello,4,0
Wang Zeng,3,1
"Hedwig, Abbess of Quedlinburg",11,0
Saint Silvia,3,0
Ferdinand Julius von Troyer,6,1
"Elizabeth of York, Duchess of Suffolk",8,0
Jean Hey,3,1
Joseph Anton Feuchtmayer,6,1
Brook Taylor,3,1
"Elizabeth de Burghersh, 3rd Baroness Burghersh",14,0
Taddeo Zuccari,6,1
Margaret of Dampierre,5,0
"Adalbert, Duke of Lorraine",7,1
John Burdon-Sanderson,7,1
Lorenz von Stein,5,1
Anna Magnani,4,0
Joanna of Flanders,4,0
John Ray,3,1
Conrad III of Germany,5,1
Anna Morandi Manzolini,7,0
Emperor Xingzong of Liao,6,1
Amy Robsart,5,0
Chiara Margarita Cozzolani,7,0
Hans Rosenplüt,5,1
Ludwig Berger,3,1
Johann Christian von Boyneburg,7,1
Paolo de Bernardo,4,1
Beatrice of Falkenburg,5,0
"Meinhard III, Count of Gorizia-Tyrol",12,1
Ibrahim I,3,1
Amy Winehouse,4,0
Constança de Viena,5,0
Giovanni Conti,3,1
Princess Maria Antonia of Naples and Sicily,8,0
Agnes von Staufen,5,0
Henry II,3,1
Elisabeth of Brunswick-Calenberg,7,0
Agneta Willeken,5,0
Urraca of León,5,0
Étienne de Sancerre,6,1
Dorothea of Montau,6,0
Catherine of Clermont,4,0
Wang Jha-ji,5,1
"Anne Hastings, Countess of Shrewsbury",7,0
Teresa Gil,3,0
Florent Berthout,6,1
Adolf Bertram,3,1
Dulce of León,5,0
Margareta of Sternberg,7,0
Benedict of Alignan,5,1
Hedwig of Saxony,5,0
"Agnes of Aquitaine, Queen of Aragon and Navarre",11,0
Khalid ibn al-Walid,8,1
Henry Kirkestede,5,1
Blanche de France,5,0
Anne Frank,3,0
Grand Empress Dowager Shangguan,7,0
Maria de Luna,4,0
Gian Battista Casella,5,1
Christian Andreas von Cothenius,7,1
Guillaume Bélibaste,5,1
Countess Palatine Ernestine of Sulzbach,10,0
Chester Ittner Bliss,6,1
Adolph Kolping,5,1
Tobias Cohn,3,1
Peter III of Rožmberk,8,1
Anne of France,4,0
Heino Heinrich Graf von Flemming,8,1
Blanche of Brienne,6,0
Ida of Toggenburg,6,0
Bartholomäus von Simeri,8,1
Ludwig Carl Christian Koch,5,1
Johann von Rist,5,1
Pauline Bonaparte,3,0
Jaume March I,5,1
Elisabeth of Cieszyn,6,0
Kenny Rogers,3,1
Johann Jakob Grynaeus,5,1
Henrietta Catherine Agnes of Anhalt-Dessau,11,0
Queen Jangryeol,5,0
Hallvard Vebjørnsson,9,1
Günther von Schwarzburg,6,1
Albrecht Ritschl,6,1
Johann Sperling,4,1
Cynan Garwyn,5,1
Senta Wengraf,5,0
Helena,2,0
Francisco Hernández de Córdoba Brito del Socorro y Nazareno,11,1
Henry of Sandwich,4,1
"Margaret III, Countess of Flanders",7,0
Jenny d'Héricourt,7,0
Friederike of Saxe-Gotha-Altenburg,13,0
Elvira Gonçalves de Sousa,6,0
Thomas Kantzow,4,1
Anna of Cilli,5,0
Jelena Nelipčić,6,0
Ralph Stratford,3,1
Hawise of Brittany,5,0
Florence Violet McKenzie,4,0
"Lucia, Countess of Tripoli",6,0
Joachim Slüter,5,1
Dorothea of Alexandria,5,0
Nadija Hordijenko Andrianova,9,0
"Elizabeth de Burgh, 4th Countess of Ulster",11,0
Gertrude of Brunswick,5,0
Karoline von Günderrode,7,0
Maria Josefa Canellada,7,0
"Elisabeth of Hesse, Electress Palatine",8,0
Franz Hengsbach,5,1
Adèle of Dreux,6,0
Adelaide of Paris,4,0
Norman Abramson,4,1
Milon of Tarentum,7,1
Arthur Rimbaud,4,1
Marika Rökk,5,0
Caterina Colombini,5,0
Catherine of Bologna,4,0
Juan de Zumárraga,6,1
Friedrich August Wolf,4,1
Agnes of Merania,5,0
"Peter II, Grand Duke of Oldenburg",8,1
Amber Rayne,4,0
Christine Charlotte of Württemberg,6,0
Tobias Mayer,3,1
Hannah Arendt,4,0
Wilhelm I,3,1
Michael VI Bringas,5,1
Amadea Palaiologina of Montferrat,11,0
Johann August Apel,4,1
Anna Maria of Brandenburg,5,0
"Eleanor, Fair Maid of Brittany",7,0
Theodora Angelina,4,0
Rothilde,3,0
Sophia,2,0
Cristóbal de Morales,5,1
"Maria, Abbess of Quedlinburg",10,0
Antonio Cerdà i Lloscos,9,1
"John Tiptoft, 2nd Baron Tibetot",12,1
Charlotte of Hesse-Homburg,7,0
Guy de La Panouse,6,1
Saint Mechtilde,4,0
Sun Deng,3,1
Liu Zhiji,4,1
Francesca Caccini,5,0
Lady Eleanor Talbot,4,0
Maria of Aragon,4,0
Ivan Alev,4,1
"Amelia Osborne, Marchioness of Carmarthen",11,0
Charlotte Marie of Saxe-Jena,8,0
Katharina Kepler,4,0
Eurydice I of Macedon,8,0
Empress Zhang,4,0
Olga Meyer,3,0
Béla II of Hungary,6,1
Æthelred Mucel,6,1
Li Ye,3,0
Anne Marie d'Orléans,6,0
Sophia of Braunschweig-Lüneburg,8,0
Hermione of Ephesus,4,0
Alfred Andersch,4,1
Shulü Ping,5,0
Anna Fugger,4,0
Maria Pais de Ribeira,6,0
Duke Maximilian Emanuel in Bavaria,6,1
Wilhelm I. von Fahrensbach,8,1
Caroline Matilda of Great Britain,6,0
"Welf II, Count of Swabia",9,1
Princess Tarakanoff,5,0
Catherine of Brandenburg,4,0
Marie Poussepin,5,0
Sophia Eleonore of Hesse-Darmstadt,9,0
"Robert I, Count of Flanders",7,1
"Louis Auguste, Duke of Maine",7,1
"Alethea Howard, Countess of Arundel",8,0
Elizabeth le Despenser,5,0
Ulla Pia,4,0
Nicholas Cooke,3,1
"Matilda FitzRoy, Countess of Perche",10,0
Anna Constantia von Brockdorff,8,0
Ferdinand August Hommel,5,1
Anna Maria Wagemann,5,0
Elisabeth Henriette of Hesse-Kassel,9,0
Jakob Frohschammer,6,1
August Otto Rühle von Lilienstern,9,1
Maria of Bytom,5,0
"Françoise-Athénaïs, marquise de Montespan",14,0
Catherine Henriette de Balzac d'Entragues,11,0
"Eberhard II, Duke of Württemberg",10,1
Euphrosyne of Greater Poland,8,0
Adalbert von Ladenberg,6,1
Élisabeth Charlotte of Bourbon-Orléans,8,0
Andreas Adam,3,1
Louis Boullogne,5,1
Hans Sloane,3,1
Joaquín Luque Roselló,9,1
Eleanor of Anhalt-Zerbst,8,0
Giovanni Felici,3,1
Robert I,3,1
Luise von Göchhausen,7,0
Johann Tobias Krebs,4,1
Irene Doukaina,5,0
Jean Bartik,4,0
Louis de Pardaillan de Gondrin,9,1
Mencia Lopez de Haro,7,0
Kate Gleason,3,0
Vittoria Colonna,4,0
Petermann Etterlin,5,1
Hans Adam Weissenkircher,7,1
"Joan, Countess of Ponthieu",8,0
Frederika Charlotte Riedesel,8,0
Karoline von Woltmann,7,0
Arnold I. von Valcourt,7,1
Walther Flemming,5,1
Martin Gerbert,4,1
Reginald of Bologna,5,1
Duchess Sophia Charlotte of Oldenburg,7,0
Sarah Bagley,4,0
Beatrice of Provence,4,0
Empress Wang Zhi,5,0
Louise Hollandine of the Palatinate,9,0
Christian Ludwig zu Leiningen-Westerburg-Neuleiningen,15,1
Countess Palatine Elisabeth Auguste of Sulzbach,10,0
"Philip III, Marquis of Namur",7,1
Heinz Hoffmann,3,1
Caroline of Orange-Nassau,6,0
Jean Bartik,4,0
Giovanni dalle Celle,4,1
Therese Krones,5,0
Valéry Giscard d'Estaing,9,1
William Thomas Hamilton,4,1
Mortimer von Maltzan,6,1
Isaac Komnenos,5,1
Eleonore von Lobkowicz,7,0
Tigranes the Great,5,1
Hans Landis,3,1
Johanna of Bavaria-Landshut,7,0
Eleanor of Woodstock,4,0
Reinhard Heydrich,6,1
Grigorios Akindynos,6,1
Pavel Židek,5,1
Margaret de Valois-Angoulême,9,0
Blanche of Burgundy,5,0
Constantine II of Torres,6,1
Empress Zhangsun,5,0
William of Roggendorf,6,1
Christiane Vulpius,5,0
Wilhelm Ebstein,5,1
Erhard Reuwich,6,1
Hedy Lamarr,5,0
Hugo von Schärfenberg,7,1
Anne-Marguerite Petit du Noyer,9,0
Gjergj Arianiti,6,1
Katharina of Opole,6,0
Rose of Lima,4,0
"William Louis, Duke of Württemberg",8,1
Bonne of Bohemia,4,0
Jan of Melsztyn,6,1
"Catherine Montagu, Countess of Salisbury",7,0
Friedrich Stromeyer,5,1
Marie de Bourbon,4,0
Princess Marie of Saxe-Weimar-Eisenach,11,0
Adriaen van Stalbemt,8,1
"Isabella of Portugal, Duchess of Burgundy",8,0
Isabel Marshal,3,0
David Cranz,4,1
"Conrad, Margrave of Brandenburg-Stendal",10,1
Þorgeir Ljósvetningagoði,10,1
Cordelia Edvardson,7,0
Francesco Cossiga,4,1
Anne of Bavaria,4,0
Benedetto Varchi,5,1
Anna Karolina Orzelska,7,0
Bernhard von Cotta,5,1
Landgravine Charlotte of Hesse-Darmstadt,10,0
Edith Clarke,3,0
Theophanu,4,0
Sergio Corbucci,4,1
Fryderyk II Sesselmann,8,1
Mary of Lancaster,4,0
Uma no Naishi,5,0
Gabriel Gonzáles Videla,6,1
John Joachim Zubly,5,1
Mary of Waltham,4,0
Laurent Joubert,4,1
Heinrich Gundelfingen,5,1
Princess Viktoria of Prussia,6,0
Marlene Dietrich,3,0
Basil Fool for Christ,5,1
"Anne of Austria, Queen of Poland",8,0
Amicie de Courtenay,8,0
Valentina Doria,3,0
Niels,2,1
Angeline of Marsciano,6,0
"Ernst Ludwig, Duke of Pomerania",8,1
Giovanni Battista Sammartini,6,1
Maria of Aragon,4,0
Eleonore von Lobkowicz,7,0
Arnold II. von Dachau,7,1
Mór Ní Tuathail,8,0
Maria Margaretha Kirch,5,0
"Frederick, Count Palatine of Zweibrücken",9,1
Margarete of Brunswick-Wolfenbüttel,10,0
Wilhelm Stählin,4,1
Ibrahim ibn Sinan,5,1
Maria de Ventadorn,6,0
Luisa de Guzmán,5,0
Maria Sibylla Merian,6,0
Andreas Dominikus Zaupser,8,1
Íte of Killeedy,7,0
Jutta Lampe,4,0
Anna Amalia,3,0
Amanda Jones,3,0
Han Hwak,4,1
Charles III of Spain,5,1
Adela,3,0
Elvira Menendez,5,0
Henrik Brenner,3,1
"James Ogilvy, 4th Earl of Findlater",12,1
Mary of Burgundy,4,0
Johann I.,4,1
Oda of Meissen,6,0
Robert Pullen,4,1
Nijō Moroyoshi,7,1
Landgravine Augusta Wilhelmine of Hesse-Darmstadt,12,0
Rodrigo de Triana,5,1
"Anna, Grand Duchess of Lithuania",7,0
"Henry de Beaumont, 1st Earl of Warwick",11,1
George I of Georgia,5,1
Alberico da Romano,6,1
Heath Ledger,3,1
Werner von Eppstein,5,1
Wolfgang Windgassen,5,1
Daniel Heinrich Arnoldt,5,1
Violant of Hungary,5,0
Eleanor of Castile I,5,0
Empress Yang Xianrong,6,0
Marie Luise Kaschnitz,7,0
Raoul of Turenne,7,1
Mathes Roriczer,6,1
Margaret of Hereford,4,0
Beatrice of Burgundy,4,0
Bernardo Rucellai,7,1
Johann I. von Plettenberg,8,1
"Catherine of Saxony, Electress of Brandenburg",9,0
Eleanor Coade,4,0
Katharina Elisabeth Goethe,5,0
John Pritchard,3,1
Lucy Everest Boole,5,0
"Frederick Albert, Prince of Anhalt-Bernburg",11,1
Margarethe von Merwitz,6,0
Waldemar Hoven,5,1
Марія Склірена,7,0
"Ermengarde, Viscountess of Narbonne",10,0
Isabelle de Charrière,5,0
Josephine Hull,4,0
Julia the Younger,4,0
Olivier de la Marche,5,1
Geeta Sane,4,0
Inga of Varteig,7,0
Gertrud of Lorraine,5,0
Mafalda de Castilla,5,0
Agnes of Savoy,4,0
"Elisabeth of Bavaria, Queen of Germany",8,0
Simone de Beauvoir,5,0
Albert Suerbeer,5,1
Margaret of Savoy,4,0
"John of Lancaster, 1st Duke of Bedford",11,1
"Agnes, wife of Ramiro I of Aragon",10,0
Eudoxia Woodward,5,0
Margherita Boninsegna,5,0
Anna Margarete von Braunschweig-Harburg,9,0
Adelaide of Hungary,4,0
Elisabeth Farnese,4,0
Meng Haoran,4,1
Elsbeth Stagel,5,0
Alice of Namur,4,0
"Charles Townshend, 2nd Viscount Townshend",11,1
"Isabella of France, Queen of Navarre",8,0
Joanna II of Naples,5,0
Lady Wu Hanyue,6,0
John Komnenos Vatatzes,7,1
Li Tao,3,1
Basilios Bessarion,6,1
Julius Theodor Christian Ratzeburg,7,1
Marie de Coucy,5,0
Empress Zhou,4,0
Claudia de' Medici,5,0
Abel Tasman,3,1
Archduchess Maria Anna of Austria,8,0
Ludwig von Rothenstein,5,1
"Otto IV, Count of Burgundy",7,1
